PLAYER,SKATER SHOOTS,POSITION,GAMES PLAYED,GOALS,ASSISTS,POINTS,PENALTY MINUTES,SHOTS,SHOOTING PERCENTAGE,TEAM ID
Colton Dach,L,C,25,2,5,7,17,27,7.4,CHI
Luke Schenn,R,D,76,1,6,7,45,77,1.3,"NSH,WPG"
Travis Hamonic,R,D,59,1,6,7,19,72,1.4,OTT
Calle Jarnkrok,R,C,19,1,6,7,4,9,11.1,TOR
Christian Fischer,R,R,46,1,6,7,11,31,3.2,"DET,CBJ"
Parker Wotherspoon,L,D,55,1,6,7,10,44,2.3,BOS
Klim Kostin,L,C,35,1,6,7,27,28,3.6,SJS
Emil Andrae,L,D,42,1,6,7,16,52,1.9,PHI
Haydn Fleury,L,D,39,0,7,7,6,38,0,WPG
Jacob Bryson,L,D,48,0,7,7,10,20,0,BUF
Ville Koivunen,L,R,8,0,7,7,4,15,0,PIT
Nikita Nesterenko,L,C,20,4,2,6,2,20,20,ANA
Oliver Wahlstrom,R,R,43,3,3,6,37,54,5.6,"NYI,BOS"
Linus Karlsson,R,C,23,3,3,6,6,28,10.7,VAN
Jonathan Lekkerimäki,R,R,24,3,3,6,2,30,10,VAN
Jani Nyman,L,R,12,3,3,6,4,22,13.6,SEA
Jon Merrill,L,D,70,2,4,6,20,47,4.3,MIN
Zemgus Girgensons,L,C,82,2,4,6,47,83,2.4,TBL
Matthew Highmore,L,C,41,2,4,6,10,33,6.1,OTT
Anthony Richard,L,C,15,2,4,6,0,19,10.5,PHI
Jansen Harkins,L,C,62,2,4,6,21,49,4.1,ANA
David Gustafsson,L,C,36,2,4,6,7,30,6.7,WPG
Landon Slaggert,L,L,33,2,4,6,23,34,5.9,CHI
Ethan Del Mastro,L,D,24,2,4,6,6,19,10.5,CHI
Brendan Smith,L,D,32,1,5,6,33,27,3.7,DAL
Phillip Di Giuseppe,L,L,20,1,5,6,4,23,4.4,VAN
Derek Ryan,R,C,36,1,5,6,12,20,5,EDM
Nick DeSimone,R,D,20,1,5,6,0,24,4.2,UTA
Nils Aman,L,C,19,1,5,6,2,8,12.5,VAN
Scott Morrow,R,D,14,1,5,6,0,23,4.4,CAR
Arber Xhekaj,L,D,70,1,5,6,118,69,1.5,MTL
Jack Johnson,L,D,41,0,6,6,2,23,0,CBJ
Dennis Gilbert,L,D,29,0,6,6,50,9,0,"BUF,OTT"
Artyom Levshunov,R,D,18,0,6,6,8,21,0,CHI
Vinni Lettieri,R,C,26,3,2,5,6,52,5.8,BOS
Tyson Kozak,L,C,21,3,2,5,2,11,27.3,BUF
Fraser Minten,L,C,21,3,2,5,2,24,12.5,"TOR,BOS"
Erik Johnson,R,D,36,2,3,5,15,37,5.4,"PHI,COL"
Nick Leddy,L,D,31,2,3,5,2,21,9.5,STL
Curtis Lazar,R,C,48,2,3,5,14,27,7.4,NJD
Ryan Shea,L,D,39,2,3,5,14,19,10.5,PIT
Rodrigo Abols,L,C,22,2,3,5,4,25,8,PHI
Philippe Myers,R,D,36,2,3,5,15,46,4.4,TOR
Juuso Välimäki,L,D,43,2,3,5,14,40,5,UTA
Liam Ohgren,L,L,24,2,3,5,2,32,6.3,MIN
Devin Shore,L,C,55,1,4,5,6,41,2.4,MIN
Oliver Kylington,L,D,19,1,4,5,8,6,16.7,"COL,ANA"
Jordan Harris,L,D,33,1,4,5,6,15,6.7,CBJ
Adam Wilsby,L,D,23,1,4,5,6,33,3,NSH
Isaiah George,L,D,33,1,4,5,6,26,3.9,NYI
Olle Lycksell,L,R,19,0,5,5,2,10,0,PHI
Nils Lundkvist,R,D,39,0,5,5,20,52,0,DAL
Sam Rinzel,R,D,9,0,5,5,0,22,0,CHI
Jonah Gadjovich,L,L,42,4,0,4,60,43,9.3,FLA
Arthur Kaliyev,L,R,14,3,1,4,2,21,14.3,NYR
Louis Crevier,R,D,32,3,1,4,10,28,10.7,CHI
Hudson Fasching,R,R,43,2,2,4,6,51,3.9,NYI
Kieffer Bellows,L,L,19,2,2,4,6,28,7.1,NSH
Logan Mailloux,R,D,7,2,2,4,6,10,20,MTL
Simon Nemec,R,D,27,2,2,4,14,26,7.7,NJD
John Klingberg,R,D,11,1,3,4,8,19,5.3,EDM
Ryan Graves,L,D,61,1,3,4,29,39,2.6,PIT
Ross Johnston,L,L,43,1,3,4,72,9,11.1,ANA
Lucas Carlsson,L,D,13,1,3,4,14,15,6.7,SJS
Zack Ostapchuk,L,C,56,1,3,4,45,26,3.9,"OTT,SJS"
Ivan Miroshnichenko,R,L,18,1,3,4,0,14,7.1,WSH
Jimmy Snuggerud,R,R,7,1,3,4,0,10,10,STL
Nikolas Matinpalo,R,D,41,1,3,4,20,43,2.3,OTT
Erik Gudbranson,R,D,16,0,4,4,6,12,0,CBJ
Rory Kerins,L,C,5,0,4,4,0,3,0,CGY
Oliver Moore,L,C,9,0,4,4,4,10,0,CHI
Juha Jaaska,L,L,18,0,4,4,9,11,0,CAR
Austin Watson,R,L,13,3,0,3,17,13,23.1,DET
Nicolas Deslauriers,L,L,31,2,1,3,15,25,8,PHI
Zack MacEwen,R,R,21,2,1,3,21,26,7.7,OTT
Kailer Yamamoto,R,R,12,2,1,3,2,13,15.4,UTA
Valtteri Puustinen,R,R,13,2,1,3,4,8,25,PIT
Walker Duehr,R,R,24,2,1,3,0,15,13.3,"CGY,SJS"
Nikita Chibrikov,L,R,4,2,1,3,0,6,33.3,WPG
Marc McLaughlin,R,C,14,2,1,3,0,13,15.4,"BOS,NJD"
Cam Lund,R,C,11,2,1,3,4,12,16.7,SJS
Marc-Edouard Vlasic,L,D,27,1,2,3,2,20,5,SJS
Tyson Barrie,R,D,13,1,2,3,4,19,5.3,CGY
Matt Nieto,L,L,32,1,2,3,4,31,3.2,PIT
Andreas Englund,L,D,35,1,2,3,48,17,5.9,"LAK,NSH"
Mitchell Stephens,R,C,28,1,2,3,6,19,5.3,SEA
Akil Thomas,R,C,25,1,2,3,7,20,5,LAK
Andre Lee,L,L,19,1,2,3,11,18,5.6,LAK
Fabian Lysell,R,R,12,1,2,3,6,21,4.8,BOS
David Jiricek,R,D,12,1,2,3,6,9,11.1,"CBJ,MIN"
Maveric Lamoureux,R,D,15,1,2,3,42,17,5.9,UTA
Rutger McGroarty,L,R,8,1,2,3,0,11,9.1,PIT
Owen Pickering,L,D,25,1,2,3,6,15,6.7,PIT
Elias Pettersson,L,D,28,1,2,3,17,19,5.3,VAN
Kyle Burroughs,R,D,33,0,3,3,39,6,0,LAK
Dryden Hunt,L,L,5,0,3,3,0,5,0,CGY
Vincent Desharnais,R,D,51,0,3,3,45,28,0,"VAN,PIT,SJS"
Pierre-Olivier Joseph,L,D,47,0,3,3,45,42,0,"STL,PIT"
Spencer Stastney,L,D,23,0,3,3,4,15,0,NSH
Matthew Kessel,R,D,29,0,3,3,10,17,0,STL
Joshua Roy,L,R,12,2,0,2,2,14,14.3,MTL
Michael Sgarbossa,L,C,3,1,1,2,2,1,100,WSH
John Hayden,R,C,20,1,1,2,31,20,5,SEA
Nicolas Aube-Kubel,R,R,22,1,1,2,19,18,5.6,"BUF,NYR"
Max Jones,L,L,26,1,1,2,18,17,5.9,"BOS,EDM"
Ty Smith,L,D,8,1,1,2,4,14,7.1,CAR
Cole Reinhardt,L,L,17,1,1,2,15,13,7.7,OTT
Alex Steeves,L,C,7,1,1,2,0,7,14.3,TOR
Justin Robidas,R,C,2,1,1,2,0,3,33.3,CAR
Kevin Korchinski,L,D,16,1,1,2,8,14,7.1,CHI
Ivan Demidov,L,R,2,1,1,2,0,5,20,MTL
Ryan Reaves,R,R,35,0,2,2,28,14,0,TOR
Robert Bortuzzo,R,D,17,0,2,2,22,8,0,UTA
Matt Martin,L,L,32,0,2,2,10,17,0,NYI
Tyler Johnson,R,C,9,0,2,2,10,6,0,BOS
Dylan McIlrath,R,D,17,0,2,2,28,10,0,WSH
Mike Reilly,L,D,18,0,2,2,2,31,0,NYI
Ben Hutton,L,D,11,0,2,2,0,11,0,VGK
Liam O'Brien,L,C,28,0,2,2,50,34,0,UTA
Keaton Middleton,L,D,41,0,2,2,28,44,0,COL
Grant Hutton,R,D,13,0,2,2,4,10,0,NYI
John Ludvig,L,D,8,0,2,2,6,9,0,COL
Noah Philp,R,C,15,0,2,2,2,17,0,EDM
Brennan Othmann,L,L,22,0,2,2,2,20,0,NYR
Oliver Kapanen,R,C,18,0,2,2,2,16,0,MTL
Luca Cagnoni,L,D,6,0,2,2,8,7,0,SJS
Chris Wagner,R,R,28,1,0,1,14,29,3.5,COL
Andreas Athanasiou,L,C,8,1,0,1,0,8,12.5,CHI
Clark Bishop,L,C,6,1,0,1,0,4,25,CGY
Bokondji Imama,L,L,16,1,0,1,30,10,10,PIT
Joona Koppanen,L,L,11,1,0,1,0,10,10,PIT
Tanner Laczynski,R,C,8,1,0,1,6,2,50,VGK
Skyler Brind'Amour,L,C,2,1,0,1,2,1,100,CAR
Patrick Giles,R,R,17,1,0,1,0,15,6.7,"FLA,SJS"
Michael Callahan,L,D,17,1,0,1,7,9,11.1,BOS
John Farinacci,R,C,1,1,0,1,0,1,100,BOS
Mat?j  Blümel,L,R,7,1,0,1,0,10,10,DAL
Justin Sourdif,R,R,1,1,0,1,0,2,50,FLA
Isaak Phillips,L,D,3,1,0,1,0,3,33.3,CHI
Ethan Cardwell,R,R,6,1,0,1,2,5,20,SJS
Callahan Burke,R,C,7,1,0,1,2,12,8.3,VGK
Dylan Duke,L,L,2,1,0,1,0,1,100,TBL
Arshdeep Bains,L,L,13,1,0,1,0,8,12.5,VAN
Declan Carlile,L,D,3,1,0,1,0,3,33.3,TBL
Taylor Ward,R,R,1,1,0,1,0,4,25,LAK
Lucas Condotta,L,L,7,1,0,1,0,5,20,MTL
Wyatt Aamodt,L,D,2,1,0,1,0,3,33.3,COL
Parker Ford,R,C,3,1,0,1,2,2,50,WPG
Ryan Leonard,R,R,9,1,0,1,11,17,5.9,WSH
Calum Ritchie,R,C,7,1,0,1,0,11,9.1,COL
Zayne Parekh,R,D,1,1,0,1,2,2,50,CGY
Sam Morton,L,C,1,1,0,1,0,1,100,CGY
Kevin Gravel,L,D,6,0,1,1,0,6,0,NSH
T.J. Tynan,R,C,9,0,1,1,4,5,0,COL
Joseph LaBate,L,C,6,0,1,1,10,3,0,CBJ
Brendan Gaunce,L,C,12,0,1,1,4,11,0,MIN
Chad Ruhwedel,R,D,5,0,1,1,0,1,0,NYR
Joshua Brown,R,D,10,0,1,1,11,9,0,EDM
Dakota Mermis,L,D,4,0,1,1,2,6,0,"UTA,TOR"
Patrick Brown,R,C,15,0,1,1,8,11,0,BOS
William Lagesson,L,D,7,0,1,1,4,5,0,DET
Jeremy Lauzon,L,D,28,0,1,1,37,25,0,NSH
Andrew Poturalski,R,C,3,0,1,1,2,5,0,SJS
Joey Anderson,R,R,18,0,1,1,0,17,0,CHI
Drake Caggiula,L,L,7,0,1,1,5,6,0,EDM
Dominik Shine,R,R,9,0,1,1,15,5,0,DET
Cale Fleury,R,D,14,0,1,1,0,16,0,SEA
Jaret Anderson-Dolan,L,C,7,0,1,1,4,8,0,WPG
Ian Mitchell,R,D,15,0,1,1,2,10,0,BOS
Emil Bemstrom,R,C,14,0,1,1,0,13,0,PIT
Jack St. Ivany,R,D,19,0,1,1,17,12,0,PIT
Angus Crookshank,L,C,8,0,1,1,0,9,0,OTT
Nolan Foote,L,L,7,0,1,1,0,5,0,NJD
Ville Heinola,L,D,18,0,1,1,4,12,0,WPG
Sam Poulin,L,R,7,0,1,1,2,3,0,PIT
Danil Gushchin,L,L,12,0,1,1,6,16,0,SJS
Ozzy Wiesblatt,R,C,5,0,1,1,0,4,0,NSH
Helge Grans,R,D,6,0,1,1,2,5,0,PHI
Ian Moore,R,D,3,0,1,1,0,4,0,ANA
Jeff Malott,L,L,12,0,1,1,7,13,0,LAK
Ilya Solovyov,L,D,5,0,1,1,2,6,0,CGY
Mike Hardman,L,L,2,0,1,1,0,2,0,NJD
Matt Kiersted,L,D,2,0,1,1,2,0,--,FLA
Ryan Winterton,R,C,12,0,1,1,2,15,0,SEA
Isak Rosen,L,R,8,0,1,1,0,8,0,BUF
Ville Ottavainen,R,D,1,0,1,1,0,1,0,SEA
Owen Beck,R,C,12,0,1,1,0,10,0,MTL
Brad Lambert,R,C,5,0,1,1,2,1,0,WPG
Matt Savoie,R,C,4,0,1,1,0,6,0,EDM
Georgii Merkulov,L,C,6,0,1,1,2,7,0,BOS
Bradly Nadeau,R,L,2,0,1,1,0,8,0,CAR
Matthew Wood,R,R,6,0,1,1,2,8,0,NSH
Justin Hryckowian,L,C,5,0,1,1,0,3,0,DAL
Arttu Hyry,R,R,5,0,1,1,0,5,0,DAL
Alexander Petrovic,R,D,5,0,0,0,4,5,0,DAL
Jani Hakanpää,R,D,2,0,0,0,0,2,0,TOR
Travis Boyd,R,C,3,0,0,0,0,0,--,MIN
Dominic Toninato,L,C,5,0,0,0,0,2,0,WPG
Matthew Benning,R,D,7,0,0,0,4,7,0,SJS
Jaycob Megna,L,D,8,0,0,0,2,5,0,FLA
Kurtis MacDermid,L,L,23,0,0,0,23,7,0,NJD
Scott Sabourin,R,R,1,0,0,0,0,0,--,SJS
Robert Hagg,L,D,2,0,0,0,0,0,--,VGK
Steven Santini,R,D,1,0,0,0,0,1,0,TBL
Conor Sheary,L,L,5,0,0,0,4,3,0,TBL
Sonny Milano,L,L,3,0,0,0,0,4,0,WSH
Mark Friedman,R,D,5,0,0,0,10,4,0,VAN
Hayden Hodgson,R,R,2,0,0,0,5,2,0,OTT
Colin White,R,C,3,0,0,0,0,1,0,SJS
Travis Dermott,L,D,19,0,0,0,2,8,0,"EDM,MIN"
Caleb Jones,L,D,6,0,0,0,2,6,0,LAK
Noah Juulsen,R,D,35,0,0,0,21,26,0,VAN
Guillaume Brisebois,L,D,3,0,0,0,0,2,0,VAN
Kyle Capobianco,L,D,1,0,0,0,4,0,--,DAL
Julien Gauthier,R,R,1,0,0,0,0,0,--,NYI
Rasmus Asplund,L,C,6,0,0,0,2,2,0,FLA
Cam Dineen,L,D,4,0,0,0,0,8,0,EDM
Riley Tufte,L,L,6,0,0,0,4,1,0,BOS
Givani Smith,L,R,13,0,0,0,18,5,0,"SJS,COL"
Riley Stillman,L,D,5,0,0,0,7,1,0,CAR
Brett Murray,L,L,3,0,0,0,0,0,--,BUF
Alexander Nylander,R,L,5,0,0,0,4,4,0,TOR
Michael Pezzetta,L,L,25,0,0,0,24,14,0,MTL
Nathan Clurman,R,D,1,0,0,0,2,4,0,PIT
Dylan Coghlan,R,D,6,0,0,0,4,9,0,WPG
Jeffrey Truchon-Viel,L,L,5,0,0,0,14,3,0,BOS
Alex Barré-Boulet,L,C,2,0,0,0,2,0,--,MTL
Tye Felhaber,L,L,5,0,0,0,0,2,0,COL
Jonas Rondbjerg,L,R,13,0,0,0,0,11,0,VGK
Shane Bowers,L,C,4,0,0,0,0,2,0,NJD
Cameron Crotty,R,D,1,0,0,0,0,0,--,MIN
Ben Jones,L,C,26,0,0,0,10,24,0,MIN
Alexander Alexeyev,L,D,8,0,0,0,0,7,0,WSH
Grigori Denisenko,R,L,1,0,0,0,2,0,--,VGK
Liam Foudy,L,C,2,0,0,0,0,1,0,NYI
Adam Ginning,L,D,1,0,0,0,0,0,--,PHI
Jan Jenik,L,C,2,0,0,0,0,0,--,OTT
Rafael Harvey-Pinard,L,L,1,0,0,0,0,0,--,MTL
Reese Johnson,R,C,3,0,0,0,0,1,0,MIN
Jake Lucchini,L,C,3,0,0,0,2,2,0,NSH
Corey Schueneman,L,D,4,0,0,0,0,4,0,STL
Mason Morelli,L,L,1,0,0,0,0,0,--,VGK
Jimmy Schuldt,L,D,8,0,0,0,0,4,0,SJS
Matthew Robertson,L,D,2,0,0,0,0,2,0,NYR
Raphael Lavoie,R,C,9,0,0,0,2,10,0,VGK
Daniil Misyul,L,D,1,0,0,0,0,0,--,NJD
Samuel Bolduc,L,D,1,0,0,0,0,0,--,NYI
Domenick Fensore,L,D,2,0,0,0,2,5,0,CAR
Ryan Johnson,L,D,3,0,0,0,4,3,0,BUF
Ryan Suzuki,L,C,2,0,0,0,0,0,--,CAR
Nathan Légaré,R,R,3,0,0,0,0,3,0,NJD
Tobias Bjornfot,L,D,14,0,0,0,2,10,0,FLA
Max Crozier,R,D,5,0,0,0,0,8,0,TBL
Matt Stienburg,R,C,8,0,0,0,22,4,0,COL
Jacob Gaucher,R,C,4,0,0,0,0,3,0,PHI
Connor Mackey,L,D,2,0,0,0,5,1,0,NYR
Jack Ahcan,L,D,2,0,0,0,2,1,0,COL
Jack Finley,R,C,1,0,0,0,0,1,0,TBL
Daemon Hunt,L,D,1,0,0,0,0,2,0,MIN
Vasily Ponomarev,L,C,7,0,0,0,2,8,0,PIT
Donovan Sebrango,L,D,2,0,0,0,0,0,--,OTT
Thomas Bordeleau,L,C,1,0,0,0,0,1,0,SJS
Brendan Brisson,L,C,9,0,0,0,0,7,0,VGK
Riley Duran,R,C,2,0,0,0,2,5,0,BOS
Chase Bradley,L,L,2,0,0,0,0,0,--,COL
Josh Dunne,L,C,2,0,0,0,5,1,0,BUF
Oskar Olausson,L,R,2,0,0,0,0,3,0,COL
Ryan Ufko,R,D,1,0,0,0,0,0,--,NSH
James Malatesta,L,L,2,0,0,0,0,0,--,CBJ
Carter Mazur,R,L,1,0,0,0,0,0,--,DET
Michael Milne,L,L,1,0,0,0,0,0,--,MIN
Jacob Melanson,R,R,1,0,0,0,0,0,--,SEA
Frederic Brunet,L,D,1,0,0,0,0,2,0,BOS
Ryan Greene,R,C,2,0,0,0,0,1,0,CHI
Devin Kaplan,R,R,1,0,0,0,0,0,--,PHI
Joakim Kemell,R,R,2,0,0,0,0,8,0,NSH
Kirill Kudryavtsev,L,D,2,0,0,0,0,2,0,VAN
Tristan Luneau,R,D,6,0,0,0,2,6,0,ANA
Noah Ostlund,L,C,8,0,0,0,2,4,0,BUF
Brian Halonen,R,L,2,0,0,0,0,2,0,NJD
Owen Sillinger,L,C,1,0,0,0,2,0,--,CBJ
Ben Meyers,L,C,8,0,0,0,2,4,0,SEA
Nikita Grebenkin,L,R,7,0,0,0,2,2,0,TOR
Hunter Brzustewicz,R,D,1,0,0,0,2,2,0,CGY
Dalibor Dvorsky,L,R,2,0,0,0,0,2,0,STL
Samuel Honzek,L,L,5,0,0,0,2,6,0,CGY
Gabe Perreault,L,R,5,0,0,0,0,5,0,NYR
Aydar Suniev,L,L,1,0,0,0,0,1,0,CGY
Jason Polin,R,R,2,0,0,0,0,3,0,COL
Ty Mueller,L,C,2,0,0,0,2,1,0,VAN
Jett Luchanko,R,C,4,0,0,0,2,3,0,PHI
Jacob Quillan,L,C,1,0,0,0,0,0,--,TOR
Jere Innala,L,L,17,0,0,0,2,8,0,COL
Nikita Prishchepov,L,C,10,0,0,0,0,4,0,COL
Jack Williams,R,R,1,0,0,0,0,0,--,CBJ
Karsen Dorwart,L,L,5,0,0,0,2,4,0,PHI
Quinn Hutson,R,R,2,0,0,0,2,1,0,EDM
Tim Washe,L,C,2,0,0,0,0,2,0,ANA
