PLAYER,SKATER SHOOTS,POSITION,GAMES PLAYED,GOALS,ASSISTS,POINTS,PENALTY MINUTES,SHOTS,SHOOTING PERCENTAGE,TEAM ID
Michael Rasmussen,L,C,77,11,10,21,24,99,11.1,DET
Garnet Hathaway,R,R,67,10,11,21,58,80,12.5,PHI
Logan O'Connor,R,R,80,10,11,21,26,89,11.2,COL
Tyler Seguin,R,C,20,9,12,21,4,46,19.6,DAL
Brandon Duhaime,L,R,82,9,12,21,98,83,10.8,WSH
Justin Danforth,R,R,61,9,12,21,18,94,9.6,CBJ
Jake Middleton,L,D,67,8,13,21,40,97,8.3,MIN
Colton Sissons,R,C,72,7,14,21,22,80,8.8,NSH
Braden Schneider,R,D,80,6,15,21,18,95,6.3,NYR
Nick Jensen,R,D,71,3,18,21,6,77,3.9,OTT
Erik Cernak,R,D,76,3,18,21,50,64,4.7,TBL
Trevor van Riemsdyk,R,D,82,1,20,21,34,80,1.3,WSH
Adam Pelech,L,D,60,0,21,21,32,109,0,NYI
Blake Lizotte,L,C,59,11,9,20,26,51,21.6,PIT
Gage Goncalves,L,C,60,8,12,20,14,61,13.1,TBL
Nikolai Kovalenko,L,R,57,7,13,20,16,45,15.6,"COL,SJS"
Jamie Drysdale,R,D,70,7,13,20,22,63,11.1,PHI
Olen Zellweger,L,D,62,7,13,20,20,130,5.4,ANA
Sam Carrick,R,C,80,6,14,20,58,84,7.1,NYR
Joel Edmundson,L,D,73,6,14,20,22,91,6.6,LAK
Oskar Sundqvist,R,C,67,6,14,20,32,60,10,STL
Mathew Barzal,R,C,30,6,14,20,4,78,7.7,NYI
Dylan Samberg,L,D,60,6,14,20,26,95,6.3,WPG
Brayden McNabb,L,D,82,5,15,20,32,97,5.2,VGK
Jonas Brodin,L,D,50,4,16,20,18,71,5.6,MIN
Alexander Romanov,L,D,64,4,16,20,20,100,4,NYI
Nick Seeler,L,D,77,3,17,20,36,82,3.7,PHI
Kevin Bahl,L,D,73,3,17,20,35,82,3.7,CGY
Jonny Brodzinski,R,C,51,12,7,19,4,73,16.4,NYR
Nick Bjugstad,R,C,66,8,11,19,16,115,7,UTA
Steven Lorentz,L,C,80,8,11,19,9,76,10.5,TOR
Parker Kelly,L,C,80,8,11,19,29,99,8.1,COL
Boone Jenner,L,C,26,7,12,19,4,70,10,CBJ
Michael Carcone,L,L,53,7,12,19,36,75,9.3,UTA
Pontus Holmberg,L,R,68,7,12,19,27,68,10.3,TOR
Jakob Pelletier,L,L,49,7,12,19,10,54,13,"CGY,PHI"
Josh Doan,R,R,51,7,12,19,8,88,8,UTA
Nick Perbix,R,D,74,6,13,19,20,66,9.1,TBL
Patrick Maroon,L,L,68,5,14,19,97,73,6.9,CHI
Nate Schmidt,L,D,80,5,14,19,30,70,7.1,FLA
Pavel Mintyukov,L,D,68,5,14,19,20,69,7.3,ANA
Rasmus Ristolainen,R,D,63,4,15,19,14,100,4,PHI
Tony DeAngelo,R,D,35,4,15,19,10,76,5.3,NYI
Dylan DeMelo,R,D,82,3,16,19,38,75,4,WPG
Connor Murphy,R,D,68,2,17,19,52,84,2.4,CHI
Emil Lilleberg,L,D,76,1,18,19,105,46,2.2,TBL
Lawson Crouse,L,L,81,12,6,18,39,126,9.5,UTA
Mitchell Chaffee,R,R,66,12,6,18,21,68,17.7,TBL
Luke Kunin,R,C,75,11,7,18,55,112,9.8,"SJS,CBJ"
Emil Heineman,L,L,62,10,8,18,20,64,15.6,MTL
Craig Smith,R,C,59,9,9,18,34,90,10,"CHI,DET"
Jack Drury,L,C,72,8,10,18,22,93,8.6,"CAR,COL"
Matias Maccelli,L,L,55,8,10,18,8,86,9.3,UTA
Jalen Chatfield,R,D,79,7,11,18,54,114,6.1,CAR
Kaiden Guhle,L,D,55,6,12,18,47,71,8.5,MTL
Alexey Toropchenko,L,R,80,4,14,18,25,90,4.4,STL
Uvis Balinskis,L,D,76,4,14,18,27,92,4.4,FLA
Chris Tanev,R,D,75,3,15,18,24,43,7,TOR
Olli Määttä,L,D,77,2,16,18,16,73,2.7,"DET,UTA"
Erik Gustafsson,L,D,60,2,16,18,20,67,3,DET
Mattias Janmark,L,C,80,2,16,18,22,51,3.9,EDM
Mark Jankowski,L,L,60,12,5,17,33,66,18.2,"NSH,CAR"
Cole Koepke,L,L,73,10,7,17,17,85,11.8,BOS
Joseph Veleno,L,C,74,8,9,17,17,75,10.7,"DET,CHI"
Fedor Svechkov,L,C,52,8,9,17,14,64,12.5,NSH
Tomas Tatar,L,L,74,7,10,17,20,66,10.6,NJD
Casey Cizikas,L,C,82,7,10,17,51,97,7.2,NYI
Colin Blackwell,R,C,63,6,11,17,16,63,9.5,DAL
Sean Kuraly,L,C,82,6,11,17,40,88,6.8,CBJ
A.J. Greer,L,L,81,6,11,17,130,86,7,FLA
Zach Aston-Reese,L,C,79,6,11,17,27,101,5.9,CBJ
Timothy Liljegren,R,D,68,6,11,17,38,102,5.9,"TOR,SJS"
Mario Ferraro,L,D,78,5,12,17,53,79,6.3,SJS
Brett Leason,R,R,62,5,12,17,22,79,6.3,ANA
Drew Doughty,R,D,30,4,13,17,20,46,8.7,LAK
Jamie Oleksiak,L,D,82,4,13,17,34,66,6.1,SEA
Cam York,L,D,66,4,13,17,26,65,6.2,PHI
Brett Pesce,R,D,72,3,14,17,29,99,3,NJD
Ian Cole,L,D,82,1,16,17,77,66,1.5,UTA
Andrew Peeke,R,D,76,1,16,17,15,80,1.3,BOS
Johnathan Kovacevic,R,D,81,1,16,17,72,76,1.3,NJD
David Perron,R,L,43,9,7,16,12,71,12.7,OTT
Michael Eyssimont,L,C,77,9,7,16,63,142,6.3,"TBL,SEA"
Nathan Walker,L,L,73,8,8,16,63,72,11.1,STL
Robby Fabbri,L,C,44,8,8,16,20,65,12.3,ANA
Jason Dickinson,L,C,59,7,9,16,38,56,12.5,CHI
Juuso Parssinen,L,C,48,6,10,16,19,30,20,"NSH,COL,NYR"
Sean Walker,R,D,82,5,11,16,46,144,3.5,CAR
Zach Bogosian,R,D,81,4,12,16,43,79,5.1,MIN
Oskar Bäck,L,C,73,4,12,16,8,44,9.1,DAL
Nick Blankenburg,R,D,60,4,12,16,24,84,4.8,NSH
Brenden Dillon,L,D,82,2,14,16,67,48,4.2,NJD
Urho Vaakanainen,L,D,51,2,14,16,18,42,4.8,"ANA,NYR"
Radko Gudas,R,D,81,1,15,16,86,89,1.1,ANA
Connor Clifton,R,D,73,1,15,16,45,63,1.6,BUF
Pierre Engvall,L,L,62,8,7,15,16,93,8.6,NYI
Trent Frederic,L,C,58,8,7,15,44,78,10.3,"BOS,EDM"
Morgan Barron,L,C,74,8,7,15,16,92,8.7,WPG
Yakov Trenin,L,C,76,7,8,15,54,85,8.2,MIN
Yegor Chinakhov,L,R,30,7,8,15,4,68,10.3,CBJ
Nick Cousins,L,C,50,6,9,15,41,68,8.8,OTT
Radek Faksa,L,C,70,5,10,15,30,68,7.4,STL
Will Borgen,R,D,84,5,10,15,42,81,6.2,"SEA,NYR"
Zachary L'Heureux,L,L,62,5,10,15,63,78,6.4,NSH
Sam Malinski,R,D,76,5,10,15,16,115,4.4,COL
Colin Miller,R,D,60,4,11,15,38,68,5.9,WPG
Isac Lundestrom,L,C,79,4,11,15,10,60,6.7,ANA
Conor Timmins,R,D,68,3,12,15,30,69,4.4,"TOR,PIT"
Egor Zamula,L,D,63,3,12,15,6,37,8.1,PHI
Ryan Suter,L,D,82,2,13,15,24,62,3.2,STL
David Savard,R,D,75,1,14,15,36,48,2.1,MTL
Josh Manson,R,D,48,1,14,15,28,65,1.5,COL
Jakub Vrana,L,L,39,9,5,14,10,47,19.2,"WSH,NSH"
Conor Geekie,L,C,52,8,6,14,16,60,13.3,TBL
Dakota Joshua,L,C,57,7,7,14,38,52,13.5,VAN
Philipp Kurashev,L,C,51,7,7,14,14,54,13,CHI
Nico Sturm,L,C,62,7,7,14,20,59,11.9,"SJS,FLA"
Kasperi Kapanen,R,R,67,6,8,14,16,66,9.1,"STL,EDM"
Michael McCarron,R,C,74,5,9,14,102,80,6.3,NSH
Mark Kastelic,R,C,61,5,9,14,106,67,7.5,BOS
Mathieu Joseph,L,R,60,4,10,14,28,69,5.8,STL
